CSS161	FUND OF COMPUTING	
	12762 A	5	MW	1100-100	UW2 031	KIM,JEFFREY Y.	44/48
	12763 B	5	MW	330-530	UW1 210	OLSON,CLARK F	40/40
	12764 C	5	MW	800-1000P	UW1 102	BENITEZ,JOSEPH P.	20/48
CSS162	PROG METHODOLOGY		
	12765 A	5	MW	115-315	UW2 031	OLSON,CLARK F	36/40
	12766 B	5	MW	545-745P	UW1 221	NASH,ROB D	22/48
CSS198	SUPERVISED STUDY
	12767 A	5		to be arranged			0/40
	12768 B	5		to be arranged			2/40
	12769 C	2		to be arranged			0/30
CSS199	COMPUTING RESEARCH
	12770 A	5		to be arranged			0/40
	12771 B	5		to be arranged			1/40
CSS205	WOMEN STEM: COLLEGE	(I&S)
	12772 A	1	T	800-850P	UW1 361	ANDERSON,LAURIE JOY	1/10
CSS211	COMPUTERS & SOCIETY	(I&S)
	12773 A	5	MW	115-315	UW2 105	KOCHANSKI,MARK	32/31
CSS225	PHYS/CHEM OF COMP	(QSR)	
	12774 A	5	TTh	330-530	SSG CNSVTRY	GUNNERSON,KIM N.	9/30
CSS233	INTERACT MEDIA TECH	(QSR)
	12775 A	5	TTh	545-745P	UW1 041	LEE,DANIELLE	29/48
CSS290	TOPICS IN COMPUTING
	12776 A	2	W	115-315	UWBB 242	GRUENBAUM,PETER E	6/10
CSS301	TECHNICAL WRITING		
	12777 A	5	TTh	115-315	UW2 340	KOOL,NANCY L	26/30
	12778 B	5	TTh	330-530	LBA 003	ANDERSON,LAURIE JOY	24/30
CSS332	PROG W/OO LANGS
	12779 A	2	F	115-515	UW1 051	STIBER,MICHAEL D	15/45
CSS342	MATH & COMPUTING	
	12780 A	5	MW	545-745P	UW1 102	ZANDER,CAROL	38/45
CSS343	DATA, ALG, MATH II	
	12782 A	5	MW	115-315	UW2 131	ZANDER,CAROL	46/45
CSS350	MGT PRINCIPLES	
	12783 A	5	TTh	545-745P	UW1 021	RAZMOV,VALENTIN N.	45/45
CSS360	SOFTWARE ENGR		
	12784 A	5	MW	330-530	UW2 131	ASUNCION,HAZELINE U	32/45
CSS370	ANALYSIS AND DESIGN	
	12786 A	5	TTh	330-530	UW2 131	CHEN,MIN	45/45
CSS371	BUSINESS OF TECH	
